iter	Passed	Remaining
0	0	67
1	1	56
2	1	52
3	1	47
4	2	46
5	2	45
6	3	43
7	3	42
8	4	42
9	4	41
10	5	40
11	5	40
12	5	39
13	6	38
14	6	38
15	7	37
16	7	37
17	8	36
18	8	36
19	8	35
20	9	35
21	9	34
22	10	34
23	10	33
24	11	33
25	11	32
26	12	32
27	12	32
28	12	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	18	26
41	18	25
42	18	24
43	19	24
44	19	23
45	20	23
46	20	23
47	20	22
48	21	22
49	21	21
50	22	21
51	22	20
52	23	20
53	23	20
54	23	19
55	24	19
56	24	18
57	25	18
58	25	18
59	26	17
60	26	17
61	27	16
62	27	16
63	28	15
64	28	15
65	29	15
66	30	14
67	30	14
68	31	13
69	31	13
70	32	13
71	32	12
72	33	12
73	33	11
74	34	11
75	34	10
76	35	10
77	35	10
78	35	9
79	36	9
80	37	8
81	37	8
82	38	7
83	38	7
84	39	6
85	39	6
86	40	5
87	40	5
88	41	5
89	41	4
90	41	4
91	42	3
92	42	3
93	43	2
94	43	2
95	44	1
96	44	1
97	45	0
98	45	0
99	46	0
